A|Agricultura, ganadería, silvicultura y pesca
4789|Comercio al por menor de otros productos en puestos de venta y mercadillos
479|Comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos
4791|Comercio al por menor por correspondencia o Internet
4799|Otro comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos
H|Transporte y almacenamiento
49|Transporte terrestre y por tubería
491|Transporte interurbano de pasajeros por ferrocarril
4910|Transporte interurbano de pasajeros por ferrocarril
492|Transporte de mercancías por ferrocarril
4920|Transporte de mercancías por ferrocarril
493|Otro transporte terrestre de pasajeros
4931|Transporte terrestre urbano y suburbano de pasajeros
4932|Transporte por taxi
4939|Otros tipos de transporte terrestre de pasajeros n.c.o.p.
494|Transporte de mercancías por carretera y servicios de mudanza
4941|Transporte de mercancías por carretera
4942|Servicios de mudanza
495|Transporte por tubería
4950|Transporte por tubería
50|Transporte marítimo y por vías navegables interiores
501|Transporte marítimo de pasajeros
5010|Transporte marítimo de pasajeros
502|Transporte marítimo de mercancías
5020|Transporte marítimo de mercancías
503|Transporte de pasajeros por vías navegables interiores
5030|Transporte de pasajeros por vías navegables interiores
504|Transporte de mercancías por vías navegables interiores
5040|Transporte de mercancías por vías navegables interiores
51|Transporte aéreo
511|Transporte aéreo de pasajeros
5110|Transporte aéreo de pasajeros
512|Transporte aéreo de mercancías y transporte espacial
5121|Transporte aéreo de mercancías
5122|Transporte espacial
52|Almacenamiento y actividades anexas al transporte
521|Depósito y almacenamiento
5210|Depósito y almacenamiento
522|Actividades anexas al transporte
5221|Actividades anexas al transporte terrestre
5222|Actividades anexas al transporte marítimo y por vías navegables interiores
5223|Actividades anexas al transporte aéreo
5224|Manipulación de mercancías
5229|Otras actividades anexas al transporte
53|Actividades postales y de correos
531|Actividades postales sometidas a la obligación del servicio universal
5310|Actividades postales sometidas a la obligación del servicio universal
532|Otras actividades postales y de correos
5320|Otras actividades postales y de correos
I|Hostelería
55|Servicios de alojamiento
551|Hoteles y alojamientos similares
5510|Hoteles y alojamientos similares
552|Alojamientos turísticos y otros alojamientos de corta estancia
5520|Alojamientos turísticos y otros alojamientos de corta estancia
553|Camping y aparcamientos para caravanas
5530|Camping y aparcamientos para caravanas
559|Otros alojamientos
5590|Otros alojamientos
56|Servicios de comidas y bebidas
561|Restaurantes y puestos de comidas
5610|Restaurantes y puestos de comidas
562|Provisión de comidas preparadas para eventos y otros servicios de comidas
5621|Provisión de comidas preparadas para eventos
5629|Otros servicios de comidas
563|Establecimientos de bebidas
5630|Establecimientos de bebidas
J|Información y comunicaciones
58|Edición
581|Edición de libros, periódicos y otras actividades editoriales
5811|Edición de libros
5812|Edición de directorios y guias de direcciones postales
5813|Edición de periódicos
5814|Edición de revistas
5819|Otras actividades editoriales
582|Edición de programas informáticos
5821|Edición de videojuegos
5829|Edición de otros programas informáticos
59|Actividades cinematográficas, de video y de programas de televisión, grabación de sonido y edición musical
591|Actividades cinematográficas, de video y de programas de televisión
5911|Actividades de producción cinematográficas, de vídeo y de programas de televisión
5912|Actividades de postproducción cinematográfica, de vídeo y de programas de televisión
5913|Actividades de distribución cinematográfica, de vídeo y de programas de televisión
5914|Actividades de exhibición cinematográfica
592|Actividades de grabación de sonido y edición musical
5920|Actividades de grabación de sonido y edición musical
60|Actividades de programación y emisión de radio y televisión
601|Actividades de radiodifusión
6010|Actividades de radiodifusión
602|Actividades de programación y emisión de televisión
6020|Actividades de programación y emisión de televisión
61|Telecomunicaciones
611|Telecomunicaciones por cable
6110|Telecomunicaciones por cable
612|Telecomunicaciones inalámbricas
6120|Telecomunicaciones inalámbricas
613|Telecomunicaciones por satélite
6130|Telecomunicaciones por satélite
619|Otras actividades de telecomunicaciones
6190|Otras actividades de telecomunicaciones
62|Programación, consultoría y otras actividades relacionadas con la informática
620|Programación, consultoría y otras actividades relacionadas con la informática
6201|Actividades de programación informática
6202|Actividades de consultoría  informática
6203|Gestión de recursos informáticos
6209|Otros servicios relacionados con las tecnologías de la información y la informática
63|Servicio de información
631|Proceso de datos, hosting y actividades relacionadas; portales web
6311|Proceso de datos, hosting y actividades  relacionadas
6312|Portales web
639|Otros servicios de información
6391|Actividades de las agencias de noticias
6399|Otros servicios de información n.c.o.p.
K|Actividades financieras y de seguros
64|Servicios financieros, excepto seguros y fondos de pensiones
641|Intermediación monetaria
6411|Banco central
6419|Otra intermediación monetaria
642|Actividades de las sociedades holding
6420|Actividades de las sociedades holding
643|Inversión colectiva, fondos y entidades financieras similares
6430|Inversión colectiva, fondos y entidades financieras similares
649|Otros servicios financieros, excepto seguros y fondos de pensiones
6491|Arrendamiento financiero
6492|Otras actividades crediticias
6499|Otros servicios financieros, excepto seguros y fondos de pensiones n.c.o.p.
65|Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria
651|Seguros
6511|Seguros de vida
6512|Seguros distintos de los seguros de vida
652|Reaseguros
6520|Reaseguros
653|Fondos de pensiones
6530|Fondos de pensiones
66|Actividades auxiliares a los servicios  financieros y a los seguros
661|Actividades auxiliares a los servicios  financieros, excepto seguros y fondos de pensiones
6611|Administración de mercados financieros
6612|Actividades de intermediación en operaciones con valores y otros activos
6619|Otras actividades auxiliares a los servicios  financieros, excepto seguros y fondos de pensiones
662|Actividades auxiliares a seguros y fondos de pensiones
6621|Evaluación de riesgos y daños
6622|Actividades de agentes y corredores de seguros
6629|Otras actividades auxiliares a seguros y fondos de pensiones
663|Actividades de gestión de fondos
6630|Actividades de gestión de fondos
L|Actividades inmobiliarias
68|Actividades inmobiliarias
681|Compraventa de bienes inmobiliarios por cuenta propia
6810|Compraventa de bienes inmobiliarios por cuenta propia
682|Alquiler de bienes inmobiliarios por cuenta propia
6820|Alquiler de bienes inmobiliarios por cuenta propia
683|Actividades inmobiliarias por cuenta de terceros
6831|Agentes de la propiedad inmobiliaria
6832|Gestión y administración de la propiedad inmobiliaria
M|Actividades profesionales, científicas y técnicas
69|Actividades jurídicas y de contabilidad
691|Actividades jurídicas
6910|Actividades jurídicas
692|Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal
6920|Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal
70|Actividades de las sedes centrales; actividades de consultoría de gestión empresarial
701|Actividades de las sedes centrales
7010|Actividades de las sedes centrales
702|Actividades de consultoría de gestión empresarial
7021|Relaciones públicas y comunicación
7022|Otras actividades de consultoría de gestión empresarial
71|Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos
711|Servicios técnicos de arquitectura e ingeniería y otras actividades relacionadas con el asesoramiento técnico
7111|Servicios técnicos de arquitectura
7112|Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico
712|Ensayos y análisis técnicos
7120|Ensayos y análisis técnicos
72|Investigación y desarrollo
721|Investigación y desarrollo experimental en ciencias naturales y técnicas
7211|Investigación y desarrollo experimental en biotecnología
7219|Otra investigación y desarrollo experimental en ciencias naturales y técnicas
722|Investigación y desarrollo experimental en ciencias sociales y humanidades
7220|Investigación y desarrollo experimental en ciencias sociales y humanidades
73|Publicidad y estudios de mercado
731|Publicidad
7311|Agencias de publicidad
7312|Servicios de representación de medios de comunicación
732|Estudios de mercado y realización de encuestas de opinión pública
7320|Estudios de mercado y realización de encuestas de opinión pública
74|Otras actividades profesionales, científicas y técnicas
741|Actividades de diseño especializado
7410|Actividades de diseño especializado
742|Actividades de fotografía
7420|Actividades de fotografía
743|Actividades de traducción e interpretación
7430|Actividades de traducción e interpretación
749|Otras actividades profesionales, científicas y técnicas n.c.o.p.
7490|Otras actividades profesionales, científicas y técnicas n.c.o.p.
75|Actividades veterinarias
750|Actividades veterinarias
7500|Actividades veterinarias
N|Actividades administrativas y servicios auxiliares
77|Actividades de alquiler
771|Alquiler de vehículos de motor
7711|Alquiler de automóviles y vehículos de motor ligeros
7712|Alquiler de camiones
772|Alquiler de efectos perasonales y artículos de uso doméstico
7721|Alquiler de artículos de ocio y deportivos
7722|Alquiler de cintas de vídeo y discos
7729|Alquiler de otros efectos personales y artículos de uso doméstico
773|Alquiler de otra maquinaria, equipos y bienes tangibles
7731|Alquiler de maquinaria y equipo de uso agrícola
7732|Alquiler de maquinaria y equipo para la construcción e ingeniería civil
7733|Alquiler de maquinaria y equipo de oficina, incluidos ordenadores
7734|Alquiler de medios de navegación
7735|Alquiler de medios de transporte aéreo
7739|Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.
774|Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor
7740|Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor
78|Actividades relacionadas con el empleo
781|Actividades de las agencias de colocación
7810|Actividades de las agencias de colocación
782|Actividades de las empresas de trabajo temporal
7820|Actividades de las empresas de trabajo temporal
783|Otra provisión de recursos humanos
7830|Otra provisión de recursos humanos
79|Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos
791|Actividades de agencias de viajes y operadores turísticos
7911|Actividades de las agencias de viajes
7912|Actividades de los operadores turísticos
799|Otros servicios de reservas y actividades relacionadas con los mismos
7990|Otros servicios de reservas y actividades relacionadas con los mismos
80|Actividades de seguridad e investigación
801|Actividades de seguridad privada
8010|Actividades de seguridad privada
802|Servicios de sistemas de seguridad
8020|Servicios de sistemas de seguridad
803|Actividades de investigación
8030|Actividades de investigación
81|Servicios a edificios y actividades de jardinería
811|Servicios integrales a edificios e instalaciones
8110|Servicios integrales a edificios e instalaciones
812|Actividades de limpieza
8121|Limpieza general de edificios
8122|Otras actividades de limpieza industrial y de edificios
8129|Otras actividades de limpieza
813|Actividades de jardinería
8130|Actividades de jardinería
82|Actividades administrativas de oficina y otras actividades auxiliares a las empresas
821|Actividades administrativas y auxiliares de oficina
8211|Servicios administrativos combinados
8219|Actividades de fotocopiado, preparación de documentos y otras actividades especializadas de oficina
822|Actividades de los centros de llamadas
8220|Actividades de los centros de llamadas
823|Organización de convenciones y ferias de muestras
8230|Organización de convenciones y ferias de muestras
829|Actividades de apoyo a las empresas n.c.o.p.
8291|Actividades de las agencias de cobros y de información comercial
8292|Actividades de envasado y empaquetado
8299|Otras actividades de apoyo a las empresas n.c.o.p.
O|Administración Pública y defensa; Seguiridad Social obligatoria
84|Administración Pública y defensa; Seguiridad Social obligatoria
841|Administración Pública y de la política económica y social
8411|Actividades generales de la Administración Pública
8412|Regulación de las actividades sanitarias, educativas y culturales y otros servicios sociales, excepto Seguridad Social
8413|Regulación de la actividad económica y contribución a su mayor eficiencia
842|Prestación de servicios a la comunidad en general
8421|Asuntos exteriores
8422|Defensa
8423|Justicia
8424|Orden público y seguridad
8425|Protección civil
843|Seguridad Social obligatoria
8430|Seguridad Social obligatoria
P|Educación
85|Educación
851|Educación preprimaria
8510|Educación preprimaria
852|Educación primaria
8520|Educación primaria
853|Educación secundaria
8531|Educación secundaria general
8532|Educación secundaria técnica y profesional
854|Educación postsecundaria
8541|Educación postsecundaria no terciaria
8542|Educación terciaria
855|Otra educación
8551|Educación deportiva y recreativa
8552|Educación cultural
8553|Actividades de las escuelas de conducción y pilotaje
8559|Otra educación n.c.o.p.
856|Actividades auxiliares a la educación
8560|Actividades auxiliares a la educación
Q|Actividades sanitarias y de servicios sociales
86|Actividades sanitarias
861|Actividades hospitalarias
8610|Actividades hospitalarias
862|Actividaes médicas y odontológicas
8621|Actividades de medicina general
8622|Actividades de medicina especializada
8623|Actividades odontológicas
869|Otras actividades sanitarias
8690|Otras actividades sanitarias
87|Asistencia en establecimientos residenciales
871|Asistencia en establecimientos residenciales con cuidados de  sanitarios
8710|Asistencia en establecimientos residenciales con cuidados de  sanitarios
872|Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia
8720|Asistencia en establecimientos residenciales para personas con discapacidad intelectual, enfermedad mental y drogodependencia
873|Asistencia en establecimientos residenciales para personas mayores y con discapacidad física
8730|Asistencia en establecimientos residenciales para personas mayores y con discapacidad física
879|Otras actividades de asistencia en establecimientos residenciales
8790|Otras actividades de asistencia en establecimientos residenciales
88|Actividades de servicios sociales sin alojamiento
881|Actividades de servicios sociales sin alojamiento para personas mayores y con discapacidad
8810|Actividades de servicios sociales sin alojamiento para personas mayores y con discapacidad
889|Otras actividades de servicios sociales sin alojamiento
8891|Actividades de cuidado diurno de niños
8899|Otros actividades de servicios sociales sin alojamiento n.c.o.p.
R|Actividades artísticas, recreativas y de entretenimiento
90|Actividades de creación, artísticas y espectáculos
900|Actividades de creación, artísticas y espectáculos
9001|Artes escénicas
9002|Actividades auxiliares a las artes escénicas
9003|Creación artística y literaria
9004|Gestión de salas de espectáculos
91|Actividades de bibliotecas, archivos, museos y otras actividades culturales
910|Actividades de bibliotecas, archivos, museos y otras actividades culturales
9101|Actividades de bibliotecas y archivos
9102|Actividades de museos
9103|Gestión de lugares y edificios históricos
9104|Actividades de los jardines botánicos, parques zoológicos y reservas naturales
92|Actividades de juegos de azar y apuestas
920|Actividades de juegos de azar y apuestas
9200|Actividades de juegos de azar y apuestas
93|Actividades deportivas, recreativas y de entretenimiento
931|Actividades deportivas
9311|Gestión de instalaciones deportivas
9312|Actividades de los clubes deportivos
9313|Actividades de los gimnasios
9319|Otras actividades deportivas
932|Actividades recreativas y de entretenimiento
9321|Actividades de los parques de atracciones y los parques temáticos
9329|Otras actividades recreativas y de entretenimiento
S|Otros servicios
94|Actividades asociativas
941|Actividades de organizaciones empresariales, profesionales y patronales
9411|Actividades de organizaciones empresariales y patronales
9412|Actividades de organizaciones profesionales
942|Actividades sindicales
9420|Actividades sindicales
949|Otras actividades asociativas
9491|Actividades de organizaciones religiosas
9492|Actividades de organizaciones políticas
9499|Otras actividades asociativas n.c.o.p.
95|Reparación de ordenadores, efectos personales y artículos de uso doméstico
951|Reparación de ordenadores y equipos de comunicación
9511|Reparación de ordenadores y equipos periféricos
9512|Reparación de equipos de comunicación
952|Reparación de efectos personales y artículos de uso doméstico
9521|Reparación de aparatos electrónicos de audio y vídeo de uso doméstico
9522|Reparación de aparatos electrodomésticos y de equipos para el hogar y el jardín
9523|Reparación de calzado y artículos de cuero
9524|Reparación de muebles y artículos de menaje
9525|Reparación de relojes y joyería
9529|Reparación de otros efectos personales y artículos de uso doméstico
96|Otros servicios personales
960|Otros servicios personales
9601|Lavado y limpieza de prendas textiles y de piel
9602|Peluquería y otros tratamientos de belleza
9603|Pompas fúnebres y actividades relacionadas
9604|Actividades de mantenimiento físico
9609|Otros servicios personales n.c.o.p.
T|Actividades de los hogares como empleadores de personal doméstico; actividades de los hogares como productores de bienes y servicios para uso propio
97|Actividades de los hogares como empleadores de personal doméstico
970|Actividades de los hogares como empleadores de personal doméstico
9700|Actividades de los hogares como empleadores de personal doméstico
98|Actividades de los hogares como productores de bienes y servicios para uso propio
981|Actividades de los hogares como productores de bienes para uso propio
9810|Actividades de los hogares como productores de bienes para uso propio
982|Actividades de los hogares como productores de servicios para uso propio
9820|Actividades de los hogares como productores de servicios para uso propio
U|Organismos extraterritoriales
99|Actividades de organizaciones y organismos extraterritoriales
990|Actividades de organizaciones y organismos extraterritoriales
9900|Actividades de organizaciones y organismos extraterritoriales
